Accounting_Period,Transaction_Date,Financial_Year,Account_Code,Account_Description,Base_Amount,Journal_Number,Transaction_Reference,Department,AOP_Mapping
2025-03,2025-03-03,2025,500400,Marketing Expense,33214.73,JN202500001,TXREF-961168,Claims,Core Operations
2024-06,2024-06-02,2024,500500,Professional Fees,13806.56,JN202400002,TXREF-190122,Finance,Growth
2025-07,2025-07-18,2025,500100,Staff Cost,18295.38,JN202500003,TXREF-545140,IT,Core Operations
2024-10,2024-10-19,2024,500100,Staff Cost,21667.65,JN202400004,TXREF-713984,IT,Core Operations
2025-01,2025-01-10,2025,500200,IT Services,10899.69,JN202500005,TXREF-539499,Finance,Growth
2024-09,2024-09-18,2024,500100,Staff Cost,18018.59,JN202400006,TXREF-955770,Underwriting,Compliance
2024-02,2024-02-12,2024,500500,Professional Fees,17991.99,JN202400007,TXREF-202163,Underwriting,Growth
2024-10,2024-10-16,2024,500100,Staff Cost,2207.48,JN202400008,TXREF-813451,Underwriting,Growth
2025-06,2025-06-12,2025,500400,Marketing Expense,27158.92,JN202500009,TXREF-414328,Underwriting,Technology Enablement
2024-03,2024-03-03,2024,500600,Claims Processing Cost,23404.49,JN202400010,TXREF-702326,Sales,Growth
2025-09,2025-09-10,2025,500400,Marketing Expense,12371.14,JN202500011,TXREF-738539,Operations,Technology Enablement
2024-02,2024-02-25,2024,500500,Professional Fees,16456.07,JN202400012,TXREF-458671,HR,Growth
2024-08,2024-08-25,2024,500400,Marketing Expense,22547.69,JN202400013,TXREF-685184,Finance,Core Operations
2025-06,2025-06-19,2025,500600,Claims Processing Cost,15647.79,JN202500014,TXREF-935601,Operations,Technology Enablement
2025-02,2025-02-16,2025,500700,Training & Development,15815.26,JN202500015,TXREF-830901,Finance,Compliance
2024-01,2024-01-21,2024,500600,Claims Processing Cost,4920.83,JN202400016,TXREF-706020,Claims,Compliance
2025-05,2025-05-01,2025,500600,Claims Processing Cost,22991.22,JN202500017,TXREF-584122,HR,Compliance
2025-03,2025-03-02,2025,500500,Professional Fees,19114.93,JN202500018,TXREF-328807,Finance,Technology Enablement
2025-03,2025-03-13,2025,500600,Claims Processing Cost,20470.14,JN202500019,TXREF-620625,IT,Technology Enablement
2024-03,2024-03-05,2024,500400,Marketing Expense,4261.28,JN202400020,TXREF-959077,HR,Compliance
2025-09,2025-09-12,2025,500300,Office & Admin,32856.3,JN202500021,TXREF-815887,Claims,Technology Enablement
2025-04,2025-04-05,2025,500200,IT Services,19389.02,JN202500022,TXREF-343224,Finance,Growth
